district,state,censuscode,centroid_lat,centroid_lon
Gandhinagar,Gujarat,473,23.255,72.69233
Ganganagar,Rajasthan,99,29.39548,73.56315
Ganjam,Odisha,388,19.62693,84.67107
Garhchiroli,Maharashtra,508,19.78492,80.24108
Garhwa,Jharkhand,346,24.10105,83.69933
Garhwal,Uttarakhand,61,29.89287,78.76962
Gautam Buddha Nagar,Uttar Pradesh,141,28.39786,77.54706
Gaya,Bihar,236,24.69908,84.93599
Ghaziabad,Uttar Pradesh,140,28.73892,77.70671
Ghazipur,Uttar Pradesh,195,25.62245,83.55621
Giridih,Jharkhand,349,24.29636,86.11029
Goalpara,Assam,302,26.05546,90.60551
Godda,Jharkhand,351,24.85958,87.31212
Golaghat,Assam,313,26.45727,93.83344
Gonda,Uttar Pradesh,183,27.08411,82.02557
Gondiya,Maharashtra,507,21.14897,80.20535
Gopalganj,Bihar,217,26.44274,84.37731
Gorakhpur,Uttar Pradesh,188,26.65778,83.36143
Gulbarga,Karnataka,579,17.26017,76.86949
Gumla,Jharkhand,366,23.10226,84.53468
Guna,Madhya Pradesh,458,24.55464,77.20082
Guntur,Andhra Pradesh,548,16.29881,80.09152
Gurdaspur,Punjab,35,32.0242,75.38644
Gurgaon,Haryana,86,28.36806,76.94077
Gwalior,Madhya Pradesh,421,26.01138,78.21957
Hailakandi,Assam,318,24.49412,92.58877
Hamirpur,Himachal Pradesh,28,31.66804,76.52577
Hamirpur,Uttar Pradesh,168,25.73161,79.87894
Hanumangarh,Rajasthan,100,29.27139,74.54901
Haora,West Bengal,341,22.52603,88.06752
Harda,Madhya Pradesh,448,22.23418,77.1211
Hardoi,Uttar Pradesh,155,27.32871,80.16251
Hardwar,Uttarakhand,68,29.87181,78.00121
Hassan,Karnataka,574,12.99536,76.10906
Mahamaya Nagar,Uttar Pradesh,144,27.57759,78.16158
Haveri,Karnataka,564,14.73808,75.41771
Hazaribagh,Jharkhand,360,23.98998,85.41321
Hingoli,Maharashtra,512,19.61516,77.1189
Hisar,Haryana,80,29.21509,75.81561
Hoshangabad,Madhya Pradesh,449,22.58828,77.98893
Hoshiarpur,Punjab,38,31.62601,75.85876
Hugli,West Bengal,338,22.8847,88.07981
Hyderabad,Andhra Pradesh,536,17.38984,78.46994
Idukki,Kerala,596,9.8822,77.02746
Imphal East,Manipur,278,24.81655,93.94212
Imphal West,Manipur,277,24.6816,93.1544
Indore,Madhya Pradesh,439,22.71306,75.78218
Jabalpur,Madhya Pradesh,451,23.23256,79.9765
Jagatsinghapur,Odisha,380,20.22182,86.34365
Jaintia Hills,Meghalaya,299,25.36835,92.38108
Jaipur,Rajasthan,110,26.98045,75.72431
Jaisalmer,Rajasthan,114,27.0774,70.90338
Jajapur,Odisha,382,20.85593,86.1522
Jalandhar,Punjab,37,31.21261,75.56658
Jalaun,Uttar Pradesh,165,26.09119,79.38743
Jalgaon,Maharashtra,499,20.93552,75.4899
Jalna,Maharashtra,514,19.81819,75.98189
Jalor,Rajasthan,116,25.09777,72.21186
Jalpaiguri,West Bengal,328,26.66052,89.08443
